timestamp,open,high,low,close,volume
2023-12-29,193.17,193.5599,191.52,192.48,6095325
2023-12-28,193.52,193.72,192.975,193.07,4807676
2023-12-27,192.95,193.24,192.02,192.84,5865660
2023-12-26,192.17,193.245,192.17,192.85,3103779
2023-12-22,192.35,192.61,191.1,192.05,5107708
2023-12-21,191.6,192.23,190.19,191.8,5667974
2023-12-20,192.36,193.04,189.64,189.67,6867447
2023-12-19,191.81,192.6,191.7,192.58,4499497
2023-12-18,191.24,192.28,190.43,191.85,5069188
2023-12-15,190.54,192.8,190.54,191.7,9065696
2023-12-14,191.36,192.08,189.33,190.74,7713721
2023-12-13,189.99,191.67,189.54,191.21,14697497
2023-12-12,187.6,189.6,187.44,189.54,7527695
2023-12-11,186.11,188.33,185.68,188.29,18897692
2023-12-08,184.68,186.81,184.45,186.66,6404425
2023-12-07,183.73,185.39,183.34,185.08,6964403
2023-12-06,185.57,185.84,182.72,182.86,7362089
2023-12-05,182.34,184.63,182.34,184.42,5420665
2023-12-04,183.73,183.73,181.32,183.32,9110927
2023-12-01,184.68,185.91,183.79,185.58,6996055
2023-11-30,185.66,185.91,183.61,185.16,6872004
2023-11-29,186.1,186.9,184.775,184.89,5382712
2023-11-28,183.78,185.24,183.78,184.75,5506169
2023-11-27,184.15,185.465,183.82,184.4,4210093
2023-11-24,184.46,184.62,183.71,184.41,2096926
2023-11-22,185.11,186.35,184.27,184.77,5606835
2023-11-21,184.61,184.9,183.275,183.95,6675391
2023-11-20,183.03,185.93,183.01,185.45,5559831
2023-11-17,182.77,183.5,182.01,182.8,6639210
2023-11-16,181.91,183.38,181.58,183.18,5777038
2023-11-15,182.85,183.13,181.57,182.27,6573854
2023-11-14,181.2,182.495,180.64,182.04,8254216
2023-11-13,178.77,178.92,177.72,178.47,5862518
2023-11-10,176.01,179.635,175.81,179.52,6675179
2023-11-09,176.03,177.315,174.72,174.95,7187337
2023-11-08,175.38,176.06,174.58,175.77,5361330
2023-11-07,173.35,175.29,173.09,174.78,6514892
2023-11-06,171.99,172.95,171.45,172.89,5549571
2023-11-03,169.84,172.45,169.47,171.76,7830864
2023-11-02,168.69,170.16,168.46,170.01,8096334
2023-11-01,164.3,167.4,164.3,167.18,10472884
2023-10-31,162.93,164.15,161.66,164.01,5446760
2023-10-30,161.97,163.425,161.48,162.85,7090476
2023-10-27,161.17,162.75,160.41,161.12,8115780
2023-10-26,163.6,164.32,159.5,160.19,10323240
2023-10-25,166.05,166.25,162.825,163.31,7764807
2023-10-24,164.78,165.51,163.48,165.26,5590175
2023-10-23,162.92,165.8,162.01,164.13,7579467
2023-10-20,166.68,166.8,163.77,163.94,7675226
2023-10-19,168.39,169.52,166.47,166.76,9995865
2023-10-18,168.27,169.64,167.03,167.72,6431451
2023-10-17,168.11,170.335,166.9,169.46,7659136
2023-10-16,168.91,171.02,168.88,170.25,7272089
2023-10-13,171.42,171.71,168.04,168.63,7595969
2023-10-12,171.07,172.83,169.78,171.08,7702917
2023-10-11,169.87,171.0,169.33,170.92,5194636
2023-10-10,169.21,170.71,168.74,169.35,10201601
2023-10-09,167.19,169.35,166.42,169.09,6569580
2023-10-06,164.0,168.9406,163.52,168.22,8312766
2023-10-05,164.9,165.4,163.15,165.13,6011478
2023-10-04,163.01,165.35,163.01,164.91,7597112
