timestamp,open,high,low,close,volume,returns
2023-12-29,193.17,193.5599,191.52,192.48,6095325,
2023-12-28,193.52,193.72,192.975,193.07,4807676,0.0030652535328345998
2023-12-27,192.95,193.24,192.02,192.84,5865660,-0.0011912777749002457
2023-12-26,192.17,193.245,192.17,192.85,3103779,5.185646131500299e-05
2023-12-22,192.35,192.61,191.1,192.05,5107708,-0.004148301788955089
2023-12-21,191.6,192.23,190.19,191.8,5667974,-0.0013017443374121473
2023-12-20,192.36,193.04,189.64,189.67,6867447,-0.011105318039624779
2023-12-19,191.81,192.6,191.7,192.58,4499497,0.015342436864027142
2023-12-18,191.24,192.28,190.43,191.85,5069188,-0.0037906324644304545
2023-12-15,190.54,192.8,190.54,191.7,9065696,-0.0007818608287725182
2023-12-14,191.36,192.08,189.33,190.74,7713721,-0.00500782472613448
2023-12-13,189.99,191.67,189.54,191.21,14697497,0.0024640872391736846
2023-12-12,187.6,189.6,187.44,189.54,7527695,-0.008733852831964928
2023-12-11,186.11,188.33,185.68,188.29,18897692,-0.006594914002321373
2023-12-08,184.68,186.81,184.45,186.66,6404425,-0.008656859100323988
2023-12-07,183.73,185.39,183.34,185.08,6964403,-0.008464588021000696
2023-12-06,185.57,185.84,182.72,182.86,7362089,-0.011994813053814557
2023-12-05,182.34,184.63,182.34,184.42,5420665,0.008531116701301356
2023-12-04,183.73,183.73,181.32,183.32,9110927,-0.00596464591692869
2023-12-01,184.68,185.91,183.79,185.58,6996055,0.012328169321405236
2023-11-30,185.66,185.91,183.61,185.16,6872004,-0.002263174911089627
2023-11-29,186.1,186.9,184.775,184.89,5382712,-0.0014581983149708488
2023-11-28,183.78,185.24,183.78,184.75,5506169,-0.0007572069879386856
2023-11-27,184.15,185.465,183.82,184.4,4210093,-0.0018944519621109102
2023-11-24,184.46,184.62,183.71,184.41,2096926,5.422993492398831e-05
2023-11-22,185.11,186.35,184.27,184.77,5606835,0.0019521717911177294
2023-11-21,184.61,184.9,183.275,183.95,6675391,-0.004437949883639214
2023-11-20,183.03,185.93,183.01,185.45,5559831,0.008154389779831517
2023-11-17,182.77,183.5,182.01,182.8,6639210,-0.014289565920733271
2023-11-16,181.91,183.38,181.58,183.18,5777038,0.0020787746170678467
2023-11-15,182.85,183.13,181.57,182.27,6573854,-0.004967791243585484
2023-11-14,181.2,182.495,180.64,182.04,8254216,-0.001261864267295909
2023-11-13,178.77,178.92,177.72,178.47,5862518,-0.019611074489123248
2023-11-10,176.01,179.635,175.81,179.52,6675179,0.005883341738107228
2023-11-09,176.03,177.315,174.72,174.95,7187337,-0.025456773618538486
2023-11-08,175.38,176.06,174.58,175.77,5361330,0.004687053443841238
2023-11-07,173.35,175.29,173.09,174.78,6514892,-0.005632360471070186
2023-11-06,171.99,172.95,171.45,172.89,5549571,-0.010813594232749857
2023-11-03,169.84,172.45,169.47,171.76,7830864,-0.006535947712418277
2023-11-02,168.69,170.16,168.46,170.01,8096334,-0.010188635305076854
2023-11-01,164.3,167.4,164.3,167.18,10472884,-0.016646079642373857
2023-10-31,162.93,164.15,161.66,164.01,5446760,-0.018961598277306035
2023-10-30,161.97,163.425,161.48,162.85,7090476,-0.0070727394671056265
2023-10-27,161.17,162.75,160.41,161.12,8115780,-0.010623272950567975
2023-10-26,163.6,164.32,159.5,160.19,10323240,-0.005772095332671312
2023-10-25,166.05,166.25,162.825,163.31,7764807,0.019476871215431624
2023-10-24,164.78,165.51,163.48,165.26,5590175,0.011940481293245986
2023-10-23,162.92,165.8,162.01,164.13,7579467,-0.006837710274718578
2023-10-20,166.68,166.8,163.77,163.94,7675226,-0.0011576189605799758
2023-10-19,168.39,169.52,166.47,166.76,9995865,0.01720141515188489
2023-10-18,168.27,169.64,167.03,167.72,6431451,0.005756776205324998
2023-10-17,168.11,170.335,166.9,169.46,7659136,0.010374433579775966
