open,high,low,close,volume
30.66,30.79,30.62,30.78,15787838
30.91,30.96,30.65,30.68,18814495
30.9,30.91,30.75,30.77,19417420
30.71,30.85,30.71,30.85,15891268
30.67,30.69,30.6,30.68,12315909
30.76,30.77,30.57,30.61,38286512
30.8,30.88,30.64,30.68,97414160
30.82,30.89,30.77,30.8,36946876
31.04,31.04,30.81,30.81,39079740
30.84,31.04,30.83,30.94,30911883
30.96,31.02,30.79,30.82,45914941
30.79,30.97,30.53,30.71,48135735
30.27,30.91,30.25,30.82,68426193
30.29,30.34,30.2,30.23,24309694
30.21,30.36,30.13,30.3,37362108
30.3,30.42,30.28,30.29,21621457
30.29,30.46,30.28,30.36,40808993
29.94,30.01,29.83,29.96,44933249
29.57,29.9,29.55,29.82,41793864
29.61,29.62,29.35,29.54,67885658
30.2,30.26,29.93,29.96,52427692
30.14,30.24,30.09,30.15,19444153
30.16,30.21,30.06,30.2,31012287
30.11,30.11,29.93,30.08,33516239
29.96,30.15,29.95,30.11,50074604
29.74,29.95,29.74,29.92,35184973
29.79,29.84,29.6,29.7,37138022
29.75,29.81,29.52,29.73,46719498
29.88,29.97,29.79,29.87,30770939
29.75,29.82,29.66,29.81,25440488
29.77,29.8,29.66,29.75,30095005
29.53,29.67,29.47,29.67,46155363
29.57,29.71,29.45,29.61,43917681
29.77,29.89,29.69,29.8,44640587
29.66,29.82,29.62,29.76,19702040
29.82,29.85,29.64,29.84,53808533
29.81,30.03,29.74,29.85,61707772
29.46,29.63,29.42,29.63,40175883
29.46,29.62,29.41,29.48,39515872
29.37,29.42,29.29,29.37,37316897
28.92,29.15,28.86,29.12,42299786
28.74,28.75,28.47,28.7,56794130
28.86,28.92,28.64,28.84,51090929
28.73,29.0,28.7,28.86,48392151
28.75,28.92,28.74,28.79,49360167
28.47,28.73,28.23,28.64,28330187
28.57,28.62,28.39,28.5,33496136
28.36,28.54,28.35,28.54,30900020
28.45,28.61,28.33,28.42,50579687
28.35,28.54,28.34,28.5,44946957
27.96,28.22,27.96,28.11,40523653
28.17,28.25,27.97,28.04,32154037
28.09,28.16,27.95,28.02,44756680
27.85,28.26,27.74,28.09,66526151
27.56,27.75,27.53,27.69,38552312
27.74,27.99,27.64,27.65,79312103
27.1,27.51,27.1,27.31,53984744
26.95,27.16,26.93,27.03,45660232
27.05,27.06,26.76,26.78,60872208
27.35,27.57,27.29,27.32,36933582
26.99,27.48,26.97,27.46,41506662
26.81,26.96,26.45,26.96,81562490
27.24,27.25,26.79,26.85,79247240
28.13,28.15,27.41,27.41,55852602
28.14,28.17,27.98,28.0,30702989
28.19,28.29,27.92,28.07,73386628
28.05,28.08,27.92,27.96,53289533
27.92,28.14,27.81,28.09,53574080
28.21,28.27,27.78,27.86,61938101
27.94,28.21,27.89,28.13,35965012
28.29,28.4,28.06,28.08,83159294
28.5,28.67,28.38,28.39,43068548
28.31,28.59,28.23,28.52,57466112
28.29,28.42,28.19,28.42,41025071
28.25,28.43,28.21,28.39,36691053
28.49,28.6,28.36,28.49,56236935
28.04,28.38,27.95,28.27,72862858
27.98,28.15,27.73,28.12,53270901
27.95,28.08,27.7,27.96,77537608
27.63,27.97,27.57,27.86,67797705
27.48,27.56,27.34,27.44,35658801
27.28,27.68,27.27,27.45,68639148
26.84,26.95,26.78,26.9,43945703
26.7,26.73,26.41,26.64,59997213
26.98,27.06,26.82,26.92,40558190
26.67,26.92,26.62,26.83,49830058
26.05,26.47,26.03,26.43,51870354
26.45,26.53,26.03,26.19,54243969
26.27,26.37,26.11,26.35,34240962
26.59,26.79,25.92,26.1,86262189
26.74,26.85,26.57,26.78,43902626
26.65,26.69,26.53,26.6,44922814
26.69,26.74,26.45,26.48,40587187
26.98,27.03,26.79,26.84,38298798
26.24,26.64,26.24,26.57,49339086
26.11,26.28,25.92,26.11,59686955
26.38,26.52,25.96,25.98,92067291
26.6,27.17,26.5,26.98,72404973
26.85,26.95,26.57,26.65,58517909
27.11,27.31,26.9,27.17,53782734
27.01,27.27,26.88,27.26,66653170
26.6,26.87,26.24,26.75,82354607
26.85,27.13,26.59,27.11,53444990
26.99,27.12,26.48,26.68,85527893
27.56,27.74,27.23,27.6,66036364
28.23,28.42,27.57,27.61,107976336
28.39,28.53,28.2,28.25,64485396
28.25,28.42,28.19,28.39,30726087
28.64,28.72,28.44,28.47,35955119
28.44,28.71,28.38,28.69,33642786
28.57,28.61,28.32,28.38,34180350
28.23,28.58,28.21,28.58,36374227
28.07,28.33,28.06,28.29,45307569
27.88,28.05,27.83,28.0,26683328
28.13,28.18,27.92,27.94,29338522
27.81,28.11,27.78,28.06,46385357
27.99,28.08,27.81,27.85,35062571
28.21,28.26,28.03,28.09,47288109
28.33,28.35,28.08,28.16,28346133
28.17,28.32,28.1,28.32,31109913
28.01,28.17,27.96,28.13,40907527
28.08,28.23,27.93,27.97,36566724
27.83,28.12,27.81,28.07,25895770
28.01,28.13,27.94,28.02,26286734
28.17,28.27,28.03,28.16,40683108
27.95,28.09,27.87,28.08,23706812
27.89,27.98,27.71,27.86,56626803
27.92,28.05,27.78,27.93,49145249
27.53,27.7,27.24,27.6,76728103
27.07,27.29,27.07,27.21,59459807
27.08,27.21,26.96,26.97,31448023
27.11,27.15,26.89,27.02,47748490
27.17,27.36,27.08,27.11,48378025
27.3,27.48,27.18,27.22,65322286
27.45,27.53,27.12,27.42,50584217
27.4,27.59,27.27,27.3,58118501
26.93,27.46,26.93,27.35,46237423
27.23,27.31,26.96,26.99,40981591
27.21,27.33,27.0,27.24,29724061
27.14,27.27,27.07,27.18,31020047
27.33,27.38,27.03,27.09,36866039
27.5,27.61,27.28,27.36,34273450
27.28,27.55,27.28,27.35,37081389
27.16,27.25,27.08,27.12,33054778
27.07,27.27,26.92,27.16,37297602
26.94,27.08,26.71,27.06,46599718
26.5,26.92,26.43,26.89,45454397
25.97,26.29,25.92,26.18,63329348
26.07,26.2,25.99,26.01,49259252
26.56,26.71,26.28,26.41,40641219
26.34,26.55,26.22,26.5,39700572
26.78,26.86,26.55,26.55,35177714
26.75,26.87,26.67,26.86,30582000
26.77,26.78,26.42,26.65,51832904
27.05,27.11,26.95,27.03,25867584
27.02,27.19,27.02,27.19,36851389
26.78,27.03,26.78,26.91,44357439
26.79,27.14,26.75,26.88,62711461
26.88,27.21,26.86,27.06,44872608
26.62,26.92,26.52,26.79,49061697
26.74,27.12,26.71,26.89,52398357
26.93,26.99,26.59,26.68,54962540
27.15,27.53,26.91,27.48,63453824
27.03,27.36,26.9,27.3,56468339
27.31,27.59,27.24,27.36,44254544
27.62,27.89,27.23,27.42,60090811
27.58,27.98,27.53,27.88,42517377
27.94,28.12,27.89,28.07,34598895
27.77,27.95,27.62,27.82,50972887
28.05,28.14,27.77,27.79,67969522
28.02,28.06,27.78,28.02,38800267
27.8,28.13,27.73,27.98,61643171
27.45,27.72,27.41,27.7,41527922
