open,high,low,close,volume
91.07,91.77,90.95,91.67,5800856
91.89,91.9,90.68,91.38,8245519
92.29,92.29,91.68,91.91,9666092
91.43,91.94,91.37,91.92,4134648
91.37,91.37,91.03,91.24,2445364
91.23,91.44,91.1,91.21,7765181
90.96,91.06,90.72,90.95,11700395
90.13,90.73,90.1,90.72,6861907
90.19,90.42,90.04,90.07,6485083
90.45,90.49,89.96,90.08,7459650
90.17,90.6,90.15,90.29,9872268
88.81,89.69,88.64,89.49,13128051
87.71,89.03,87.5,88.9,12094681
87.6,88.04,87.42,87.96,4874805
87.44,87.83,87.15,87.37,6175442
87.61,87.89,87.3,87.3,5685139
87.46,87.84,87.39,87.76,9203420
86.79,86.87,86.39,86.8,7810087
86.69,86.76,86.35,86.48,6914337
85.53,86.19,85.16,86.13,11248166
88.2,88.2,86.52,86.9,11583759
88.19,88.33,88.01,88.16,5680094
88.2,88.42,87.94,88.42,9348084
87.9,88.15,87.76,87.93,9727242
86.98,87.85,86.95,87.85,7369728
86.95,87.09,86.25,86.59,5889966
86.97,87.07,86.52,86.7,9377672
87.47,87.73,86.48,87.14,12379508
87.85,87.93,87.35,87.67,7043647
87.21,87.63,86.88,87.5,6521146
87.15,87.24,86.88,87.24,7062323
86.3,86.61,86.06,86.54,6091340
86.11,86.72,86.09,86.64,7686117
86.28,86.77,86.07,86.45,8274914
85.63,86.28,85.52,86.16,4244032
85.42,86.12,85.08,86.12,6286529
85.54,86.12,85.4,85.64,14040669
85.0,85.05,84.54,84.97,8538592
85.35,85.38,84.72,85.01,7896708
85.32,85.37,84.93,85.11,10181197
83.95,84.67,83.82,84.67,9920592
83.85,83.94,83.13,83.67,11230389
83.46,83.82,82.9,83.72,12777545
83.9,84.05,83.18,83.21,7759592
83.65,84.01,83.61,83.97,7208976
81.93,83.02,81.88,82.92,8150221
81.61,82.0,81.31,81.93,7306274
80.43,80.76,80.26,80.75,8953625
81.94,82.23,80.62,80.68,9233062
81.39,81.82,81.1,81.78,6345470
81.57,81.69,80.4,80.91,8726315
82.13,82.36,81.26,81.69,6866140
