open,high,low,close,volume
101.44,101.95,101.27,101.86,4746745
102.27,102.49,101.51,101.66,5665146
103.13,103.14,102.71,102.94,3605004
103.11,103.23,102.58,102.91,2910075
103.11,103.24,102.73,102.98,2071790
102.94,103.22,102.68,103.11,4770837
102.28,102.93,102.28,102.7,8586532
102.21,102.51,102.05,102.4,6637183
101.9,102.2,101.79,102.0,5202892
102.1,102.25,101.72,101.86,4643626
101.47,102.34,101.47,101.97,7720256
100.85,101.47,100.47,100.88,6433171
100.07,101.28,100.02,100.95,9769053
100.01,100.27,99.82,100.02,6010787
99.69,100.02,99.3,99.93,6027927
100.45,100.47,99.71,99.71,5148857
100.27,100.75,100.2,100.41,5658514
99.81,99.9,98.91,99.75,7390352
99.23,99.88,99.13,99.75,6237642
98.3,98.91,98.03,98.83,7820107
99.69,99.72,98.73,99.05,6682231
99.58,99.81,99.29,99.49,2391998
99.47,99.99,99.38,99.84,6333097
99.4,99.56,99.0,99.33,11073327
98.66,99.43,98.51,99.41,11725689
98.08,98.4,97.87,98.26,6141823
97.72,97.98,97.05,97.91,8801928
97.63,97.97,97.08,97.66,12305624
97.47,97.93,97.22,97.79,9883253
97.37,97.93,97.01,97.13,11251359
95.76,97.63,95.67,97.46,11336773
95.4,95.57,94.85,95.43,6498793
95.05,95.65,94.9,95.42,6575132
94.89,95.65,94.76,95.31,13801545
94.77,94.97,94.48,94.74,6086698
94.38,95.15,94.27,95.13,7756856
94.59,94.74,94.16,94.44,7822916
94.0,94.41,93.71,94.23,13130204
94.72,94.73,93.7,93.91,13236126
95.31,95.36,94.54,94.58,9877775
95.26,95.67,94.85,94.87,14670639
94.68,94.81,94.14,94.75,9675234
94.36,94.9,93.99,94.86,10179744
93.23,94.48,93.0,94.33,13594427
92.3,93.2,92.22,93.01,6903930
91.72,92.31,91.48,92.06,5536598
92.59,92.69,91.63,91.96,6916991
92.02,92.7,91.83,92.43,5549073
92.36,92.95,91.82,91.86,8746301
92.14,92.28,91.48,91.66,4952132
91.84,92.24,91.35,91.76,6784346
91.72,92.36,91.68,92.1,7537106
91.47,91.89,91.27,91.42,7854921
90.89,91.86,90.83,91.54,12622404
89.88,90.34,89.76,89.9,5919186
90.05,91.0,89.9,89.94,10825812
88.5,89.51,88.42,89.2,8139048
88.66,89.02,88.36,88.76,7354890
89.08,89.12,88.1,88.12,10685421
89.76,90.42,89.63,89.83,8249730
89.0,90.18,88.95,90.13,9313580
87.83,88.77,87.2,88.74,12830390
88.97,89.15,87.56,87.95,13505857
90.37,90.57,89.07,89.25,13618966
89.45,90.68,89.39,90.13,8306829
90.03,90.16,89.0,89.33,10017318
90.53,90.56,89.04,89.73,10183791
90.68,90.76,90.1,90.23,7957820
91.85,91.91,90.35,90.67,10615767
91.73,92.06,91.48,91.51,4329101
91.7,92.43,91.69,92.0,9000151
91.55,92.28,91.38,91.87,5084327
91.45,91.56,90.79,91.44,5397831
91.26,91.7,91.13,91.45,3963154
91.01,91.54,90.9,91.31,6668085
91.67,92.25,91.32,91.51,6350964
92.0,92.38,91.51,91.56,9344700
90.84,91.62,90.62,91.59,8124290
89.97,90.7,89.02,90.69,8770748
91.35,91.38,90.1,90.43,10675897
91.21,91.53,91.08,91.27,13166442
90.9,91.22,90.42,91.02,7897419
90.66,90.71,89.71,90.13,9318669
90.07,90.5,89.75,90.07,6437819
90.91,91.09,90.21,90.6,4784137
90.49,90.75,89.91,90.49,4360327
88.85,90.0,88.72,89.81,5691503
90.24,90.55,89.1,89.16,8251963
89.47,89.76,89.1,89.69,8915621
